"name","description","activityTags","technologyTags","artTags"
"Pepsi Pavilion Mirror Dome","33. […] Climbing the stairs, they came into the Mirror Dome, which was Bob Whitman's idea. It was a 90 foot diameter 210-degree spherical mirror made of aluminized mylar in which the real image of the floor and the visitors on it hung upside down in space over the their heads. 

37. The spherical mirror in the Pepsi Pavilion, showing the real image of the floor and the visitors hanging upside down in space over their heads. This optical effect resembles that of a hologram. Because of the size of our mirror, a spectator looking at the real image of a person could walk around that image and see it from ail sides. The effect was spectacular.
Our architect John Pearce devised an ingenious way the mylar mirror could be held up inside an air-tight spherical cage. A slight vacuum of less than 1/1000 of an atmosphere in the space between the cage and the mirror was sufficient to hold up the mirror. There was no need for cumbersome air locks.

38. This photograph of Ritty Burchfield with a flag is the first formal photograph taken in the mirror and was used for publicity in Japan. Remy Charlip used this flag and other large pieces of colored cloth for a performance in the Mirror on opening day of the Pavilion. The space in the mirror was gentle and poetic, rich and always changing. It was quite complex in spite of its simplicity. Every day we discovered new and complicated optical effects.

39. This photograph is printed upside down to demonstrate the real image effect in the mirror. We can clearly see the real image of the backs of two men (one wearing a white hat); and the fronts of the same two men standing on the floor, their arms raised, pointing toward their images. Visitors became very excited when they recognized themselves and their friends in the mirror.","Work","Mirror, Plastic, Architecture, Physics
","Environment, With People, Reactive/Interactive"
"Pepsi Pavilion Sound System","33. [...] David Tudor designed the sound system as an ""instrument"" with 32 input channels and 37 speakers arranged in a rhombic grid on the surface of the dome behind the mirror. Sound could be moved at varying speeds around or across the dome, or it could be shifted abruptly from any one speaker to another, creating point sources of sound. Both the lighting system, designed by artist Tony Martin, and the sound system could be pre-programed or controlled in real time from a console at one side of the Dome.
","Work","Sound, Audio-system","Environment, Performance, Concert
"
"Pepsi Pavilion Interior Light","33. […] Both the lighting system, designed by artist Tony Martin, and the sound system could be pre-programed or controlled in real time from a console at one side of the Dome.
","Work, Light, Design","Light","Design, Environment"
"Pepsi Pavilion Floor and Sound Loop System","37. […] The floor was divided into 10 areas made up of different materials, such as astroturf, rough wood, slate, tile, and asphalt. Through handsets, visitors could hear different sounds while standing on each different floor material: on the tile floor, horses hooves and shattering glass; on the astroturf, ducks, frogs, cicadas and lions roaring. These sounds were transmitted to the handset from wire loops embedded in the floor section.
","Work
","Sound, Audio-system, Radio, Receivers","Reactive/Interactive, With People"
"Pepsi Pavilion Programming","33. […] The artists wanted to create a Pavilion where the vis[i]tors could explore the envi[ro]nment and create their own experience. The artists also conceived of the Pavilion as a performance space, continuously programmed by visiting American and Japanese artists throughout the six months of Expo '70.
","Project
","Light, Sound, Audio-system, Mirror","Performance"
"Anand Project","42. Vikram Sarabhai, head of the Indian Atomic Energy Commission, asked E.A.T. to develop methods for creating instructional programming for television to be used for the ATS-F Satellite which was going to be placed over India. We assembled a group of specialists in engineering, education and television, as well as an artist, Robert Whitman. The group went to India in December 1969 and worked at the Anand Dairy Cooperative in Gujurat State to produce programs for the women who raise buffalo for milk production. We proposed using 1/2"" video equipment to gather material from the villages which would be used as visual research notes when the final instructional programs would be made for broadcast over the satellite. Our proposal, with its emphasis on local input was adopted and became  the  basis for the programming in what is now known as the SITE television satellite project. I consider this project to be E.A.T.'s most significant contribution.","Project
","Telecommunication",
"American Artists in India","43. With support from Porter MacCray of the JDR III Fund, E.A.T. organized	a project for open-ended cultural exchange, called American Artists in India. In 1970 and 1971 we sent nine artists to India for one month each to travel, study, teach or work on their own or on collaborative projects with Indian artists, as they chose. The artists documented their stay through drawings, photographs sound recordings or film. Artists who participated in the project were choreographers Trisha Brown, Steve Paxton, and Yvonne Rainer: composers Lowell Cross, Terry Riley, and LaMonte Young; and visual artists Jared Bark, Jeffrey Lew, Kate Rediker, and Marian Zazeela. In this photograph, Bark, with his hand on his head, talks with students at the National Institute of Design in Ahmedabad, with whom he worked.","Project
",,"Residence"
"Children and Communication","44. For the project Children and Communication, we linked one uptown and one downtown space in Manhattan with 14 dedicated telephone lines. The terminal equipment on these lines included facsimile machines, electro-writers, telex machines and telephones. Robert Whitman designed environments where the children could freely access all the equipment. For four months, in 1971 more than 500 children visited the two locations. They enthusiastically typed or hand-wrote messages, sent pictures and talked to children at the other location, children from other areas of the city they would not normally meet.","Projects","Telecommunication, Telephone, Telex, Fax
","Environment, With People"
"Telex: Q&A","45. E.A.T. developed an international communications project called Utopia: Q&A, as a contribution to Pontus Hultén's exhibition on the Paris Commune, ""Utopia and Visions: 1871-1981."" We linked four public spaces by telex: Automation House in New York, Moderna Museet in Stockholm, the National Institute of Design in Ahmedabad, India, and a Xerox exhibition space at the Sony building in Tokyo. Visitors were invited to ask people in other countries questions about 1981, ten years into the future. The questions from each site were sent to ail other sites and anyone, expert or layman, could answer the questions about the future.
This photograph shows the large public environment at the Tokyo telex site organized by Fujiko Nakaya (center), Hakudo Kobayashi (left), and Yuji Morioka (riqht), where people could come and read the telexes from ail over the world and then send their own questions or answers, and have their pictures taken for the project poster, which she printed at the end of the exhibition.","Project
","Telecommunication, Telex
","With People, Reactive/Interactive
"
"Island Eye Island Ear","46. David Tudor proposed a collaborative concert, ""Island Eye Island Ear,"" to use sound and visual elements to reveal the nature on an island. Parabolic antennas would create sound beams of natural sounds recorded earlier by Tudor on the island for people to walk through. In 1973 we traveled to Knavelskar in the Swedish Archipelago and made this map of the plans for Tudor's antennas, Fujiko Nakaya's fog sculpture areas, Jacqueline Matisse Monnier's kites, and Margaretha Asberg's dancers.","Collective Work
","Mirror, Sound, Audio-system, Fog","Installation, Environment, Process, Dance"
"Interactive Display System for the Plaza","47. When Renzo Piano and Richard Rogers won the architectural competition to build Centre Georges Pompidou in Paris, they included in their winning design an outdoor projection screen on the building facing the large piazza in front to the building. E.A.T. received a contract to develop such a screen. With the help of subcontractor Ford Aerospace, we worked out a proposa for a system using a large projection screen made up of thousands of corner reflectors and an Eidophor projector. John Krauskopf, a researcher in perception at Bell Laboratories, worked with us on the specifications for the allowable space between the corner reflectors making up the screen. The biggest problem was to overcome the effect of the sunlight which would directly hit the screen. All these problems were solved, but the projection system was judged to be too expensive and was never built.","Project","Projection","With People, Reactive/Interactive
"
"Opal Loop","48. In 1980 Trisha Brown asked Fujiko Nakaya to make a set for a new dance, Opal Loop. Fujiko designed a system for making a stage of fog for the dance, the volume and movement of the fog were controlled by turning sets of nozzles off and on to create convection currents. The dance was first performed in an old OC power station on Crosby Street in Manhattan. Later Trisha included Opal Loop in her program at the Brooklyn Academy of Music. We built a replica of the Brooklyn stage in my backyard and tested the fog system before moving into the theater. Since the dancers could not dance on a wet marley floor, we rented a large gas-driven heat blower, used in football stadium dugouts, and put it underneath the stage to raise the temperature of the floor so the fog droplets evaporated immediately, keeping the floor dry. In this photo, Trisha Brown, far left, and her dancers perform Opal Loop.","Work
","Fog","Dance
"
"Astral Convertible","49. In 1989 Trisha Brown asked Bob Rauschenberg for a set for her dance Astral Convertible, to be performed in an outdoor space. Rauschenberg and I discussed the project, and I brought engineer Per Biorn into the collaboration. We designed and Biorn built open towers on wheels in which battery-powered motorcycle headlights on the towers face photocells on other towers so that the lights, and sound from tape recorders also located on the towers, are turned off and on as the dancers move among the towers.","Work
","Light, Sensors, Photocells, Battery
","Dance, Reactive/Interactive"
"Friends and Neighbors","50. Artists continue to approach E.A.T. for technical assistance. One of the most recent matchings we made was for Irina Nakhova, a Russian artist who works in New York. Nakhova wanted sculptures that reacted to the presence of viewers. I put her in touch with Per Biorn, who designed and built circuits in which sound was triggered by touch. They were built into the sculptures in the piece in this photograph, Friends and Neighbors, shown first at Hartford College for Women, then in Denmark in 1994, and later at the Cranbrook Museum of Art in Michigan. Nakhova dressed clothes dummies with old thrift store overcoats on which she had painted images of classical sculptures. When viewers approached and touched the coats, the sculptures sounded off with pre-recorded loud cries or insulting or angry comments. Nakhova has collaborated with other engineers on sculptures that inflate and change shape when viewers come close to them.","Work
","Sound, Sensors
","Sculpture, Reactive/Interactive"
"9 Evenings Film Preservation","51. In 1996 E.A.T. began a film restoration and presentation project, using archival 16 mm film and reel-to-reel tape recordings that 1 had arranged to be shot and recorded during the 9 Evenings. The material was transferred to video. Swedish filmmaker Barbro Schultz Lundestam is editing the material to present each artists' original work as fully as possible. The videos will also include a documentary section of still photographs, artists' notes, and interviews with artists and engineers. The photograph above was taken from the screen of a television monitor during the editing of Öyvind Fahlström's work. Kisses Sweeter Than Wine, and shows characters Fahlström called 'Chinese Sparrows' swinging from long swings attached to the ceiling of the Armory.","Project, Preservation",,
